"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Jun 15 10:38:11 CEST 2023","Thu Jun 15 10:38:11 CEST 2023","1","","Gestion des roles et utilisateurs","","","","Créer un role",""
"skipped","Thu Jun 15 10:38:25 CEST 2023","Thu Jun 15 10:38:25 CEST 2023","0","","Inventaire","","","","Ajouter un équipement",""
"skipped","Thu Jun 15 10:38:25 CEST 2023","Thu Jun 15 10:38:25 CEST 2023","1","","Inventaire","","","","Ajout d'un batiment dans la zone",""
"passed","Wed Jun 14 14:52:41 CEST 2023","Wed Jun 14 14:52:47 CEST 2023","6055","","Gestion des utilisateurs","","","","Création d'un utilisateur",""
"skipped","Thu Jun 15 10:38:25 CEST 2023","Thu Jun 15 10:38:25 CEST 2023","1","","Inventaire","","","","Ajout d'une zone Géographique",""
"skipped","Thu Jun 15 10:38:11 CEST 2023","Thu Jun 15 10:38:11 CEST 2023","1","","Gestion des roles et utilisateurs","","","","Modification du role",""
"skipped","Thu Jun 15 10:38:25 CEST 2023","Thu Jun 15 10:38:25 CEST 2023","1","","Inventaire","","","","Ajout d'une pièce dans le Batiment",""
"skipped","Thu Jun 15 10:38:20 CEST 2023","Thu Jun 15 10:38:20 CEST 2023","0","","Créer un usager","","","","Modifier les information d'un usager",""
"passed","Wed Jun 14 10:59:35 CEST 2023","Wed Jun 14 10:59:40 CEST 2023","5459","","Créer un usager","","","","Exécution 1",""
"passed","Thu Jun 15 10:38:25 CEST 2023","Thu Jun 15 10:38:27 CEST 2023","2206","","Inventaire","","","","Test log",""
"passed","Thu Jun 15 10:38:08 CEST 2023","Thu Jun 15 10:38:11 CEST 2023","3399","","Gestion des roles et utilisateurs","","","","Modification d'un utilisateur",""
"skipped","Thu Jun 15 10:38:13 CEST 2023","Thu Jun 15 10:38:13 CEST 2023","2","","Rsmart","","","","Création un utilisateur",""
